year,plot.code,species,percent-cover
2022,PAM11,Persea palustris,2
2022,PAM11,Arundinaria gigantea,13
2022,PAM11,Carex sp.,8
2022,PAM10,Arundinaria gigantea,90
2022,PAM10,Persea palustris,5
2022,PAM10,Toxicodendron radicans,3
2022,PAM10,Eupatorium sp. ,<1
2022,PAM10,Pteridium aquilinum,4
2022,PAM10,Acer rubrum,<1
2022,PAM10,Smilax laurifolia,<1
2022,PAM10,Vitis rotundifolia,5
2022,PAM10,Rubus sp.,2
2022,PAM09,Arundinaria gigantea,35
2022,PAM09,Persea palustris,<1
2022,PAM09,Toxicodendron radicans,2
2022,PAM09,Campsis radicans,2
2022,PAM09,Pteridium aquilinum,2
2022,PAM09,Rhus copallinum,<1
2022,PAM08,Arundinaria sp. ,15
2022,PAM08,Phragmites australis,30
2022,PAM08,Acer rubrum,3
2022,PAM08,Woodwardia virginica,20
2022,PAM08,Toxicodendron radicans,3
2022,PAM08,Smilax sp.,<1
2022,PAM02,Distichlis spicata,40
2022,PAM02,Schoenoplectus sp.,15
2022,PAM01,Juncus roemerianus,5
2022,PAM01,Distichlis spicata,2
2022,PAM01,Schoenoplectus sp.,7
2022,PAM01,Spartina patens,30
2022,PAM03,Schoenoplectus sp.,2.5
2022,PAM03,Toxicodendron radicans,2
2022,PAM03,Distichlis spicata,25
2022,PAM03,Cladium mariscus ssp. jamaicense,7
2022,PAM04,Schoenoplectus sp.,5
2022,PAM04,Mikania scandens,10
2022,PAM04,Baccharis halimifolia,3
2022,PAM04,Myrica cerifera,<1
2022,PAM04,Rumex verticillatus,<1
2022,PAM04,Alternanthera philoxeroides,2
2022,PAM05,Phragmites australis,50
2022,PAM05,Myrica cerifera,1.5
2022,PAM05,Woodwardia virginica,27
2022,PAM05,Andropogon tenuispatheus,8
2022,PAM05,Distichlis spicata,1
2022,PAM05,Osmunda regalis,3
2022,PAM05,Acer rubrum,1.5
2022,PAM06,Acer rubrum,3
2022,PAM06,Woodwardia virginica,7
2022,PAM06,Andropogon tenuispatheus,5
2022,PAM06,Osmunda regalis,1
2022,PAM06,Typha latifolia,2
2022,PAM06,Alternanthera philoxeroides,<1
2022,PAM07,Woodwardia virginica,20
2022,PAM07,Osmunda regalis,1
2022,PAM07,Morella cerifera,80
2022,PAM07,Phragmites australis,5
2022,PAM07,Typha latifolia,<1
2022,PAM07,Toxicodendron radicans,2
2022,PPR01,Spartina patens,40
2022,PPR02,Spartina patens,10
2022,PPR02,Myrica cerifera,50
2022,PPR03,Woodwardia virginica,7
