year,plot.code,quarter,canopy,species,distance,circumference ,diameter
2022,PAM11,n,over,Liquidambar styraciflua,2.1,39,
2022,PAM11,n,over,Liquidambar styraciflua,1.7,57,
2022,PAM11,n,under,Myrica cerifera,3.7,,2.38
2022,PAM11,n,under,Myrica cerifera,5.6,,8.68
2022,PAM11,e,over,Liquidambar styraciflua,2.1,150,
2022,PAM11,e,over,Liquidambar styraciflua,3.28,55,
2022,PAM11,e,under,Myrica cerifera,3.4,,2.378
2022,PAM11,e,under,Myrica cerifera,4.5,,0.991
2022,PAM11,s,over,Liquidambar styraciflua,5.25,135,
2022,PAM11,s,over,Liquidambar styraciflua,7.9,50,
2022,PAM11,s,under,Myrica cerifera,3.75,,0.958
2022,PAM11,s,under,Myrica cerifera,4.2,,0.268
2022,PAM11,w,over,Liquidambar styraciflua,5.5,115,
2022,PAM11,w,over,Liquidambar styraciflua,6.6,50,
2022,PAM11,w,under,Myrica cerifera,2.4,,0.83
2022,PAM11,w,under,Myrica cerifera,3.5,,0.441
2022,PAM10,n,over,Pinus taeda,4.4,195,
2022,PAM10,n,over,dead tree,8.6,121,
2022,PAM10,n,under,Myrica cerifera,2.74,,1.86
2022,PAM10,n,under,Persea palustris,2.65,,1.48
2022,PAM10,e,over,dead tree,1,55,
2022,PAM10,e,over,Liquidambar styraciflua,4.6,170,
2022,PAM10,e,under,Myrica cerifera,5,,0.957
2022,PAM10,e,under,Myrica cerifera,5.5,,1.704
2022,PAM10,s,over,Pinus taeda,4,80,
2022,PAM10,s,over,Pinus taeda,6.1,190,
2022,PAM10,s,under,Myrica cerifera,3.45,,1.26
2022,PAM10,s,under,Myrica cerifera,1.8,,0.793
2022,PAM10,w,over,Liquidambar styraciflua,3,112,
2022,PAM10,w,over,,,,
2022,PAM10,w,under,Myrica cerifera,1.6,,1.5
2022,PAM10,w,under,Myrica cerifera,2.7,,3.69
2022,PAM09,n,over,Pinus taeda,1.25,178,
2022,PAM09,n,over,Pinus taeda,2.4,25,
2022,PAM09,n,under,Myrica cerifera,0.9,,3.66
2022,PAM09,n,under,Persea palustris,3.4,,2.01
2022,PAM09,e,over,Pinus taeda,5.7,147,
2022,PAM09,e,over,Pinus taeda,5.1,158,
2022,PAM09,e,under,Myrica cerifera,3.13,,10.73
2022,PAM09,e,under,Liquidambar styraciflua,4,,5.23
2022,PAM09,s,over,Pinus taeda,3.7,18,
2022,PAM09,s,over,Liquidambar styraciflua,4.15,17,
2022,PAM09,s,under,Myrica cerifera,1.6,,3.19
2022,PAM09,s,under,Myrica cerifera,2.1,,2.85
2022,PAM09,w,over,dead tree,2.7,40,
2022,PAM09,w,over,Liquidambar styraciflua,4.9,10.7,
2022,PAM09,w,under,Myrica cerifera,2.38,,3.65
2022,PAM09,w,under,Myrica cerifera,2.5,,8.07
2022,PAM08,n,over,Acer rubrum,3.5,7.6,
2022,PAM08,n,over,Pinus taeda,1.2,7.82,
2022,PAM08,n,under,Myrica cerifera,2.5,,3.26
