species,category
Acer rubrum,tree
Acer rubrum var. trilobum,tree
Alternanthera philoxeroides,herb
Andropogon tenuispatheus,gs
Aristida stricta,gs
Arundinaria gigantea,gs
Arundinaria sp. ,gs
Arundinaria tecta,gs
Baccharis halimifolia,gs
Campsis radicans,herb
Carex sp.,gs
Carex striata,gs
Centella erecta,herb
Chamaedaphne calyculata,shrub
Cladium mariscus ssp. jamaicense,gs
Clethra alnifolia,shrub
Cyrilla racemiflora,tree
dead tree,dead tree
Dichanthelium scabriusculum,gs
Distichlis spicata,gs
Drosera intermedia,herb
Eupatorium sp. ,herb
Galium aparine,herb
Gaylussacia bigeloviana,shrub
Gaylussacia dumosa,shrub
Gaylussacia frondosa,shrub
Gelsemium sempervirens,herb
Gordonia lasianthus,tree
Hydrocotyle verticillata,herb
Hypericum virginicum,herb
Ilex coriacea,shrub
Ilex glabra,shrub
Ilex laevigata,shrub
Iva frutescens,shrub
Juncus roemerianus,gs
Kalmia buxifolia,shrub
Kalmia cuneata,shrub
Kosteletzkya pentacarpos,herb
Lindera melissifolia,shrub
Liquidambar styraciflua,tree
Lyonia ligustrina var. foliosiflora,shrub
Lyonia lucida,shrub
Mikania scandens,herb
Mitchella repens,herb
Morella cerifera,shrub
Myrica cerifera,shrub
Nyssa biflora,tree
Nyssa sylvatica,tree
Osmunda regalis,herb
Osmundastrum cinnamomeum,herb
Parthenocissus quinquefolia,herb
Peltandra virginica,herb
Persea palustris,shrub
Phragmites australis,gs
Pinus serotina,tree
Pinus taeda,tree
Pteridium aquilinum,herb
Quercus nigra,tree
Rhus copallinum,shrub
Rhus sp.,shrub
Rhynchospora alba,gs
Rhynchospora chalarocephala,gs
Rubus sp.,shrub
Rumex verticillatus,herb
Schoenoplectus americana,gs
Scirpus cyperinus,gs
Smilax laurifolia,herb
Smilax sp.,herb
Solidago mexicana,herb
Spartina alterniflora,gs
Spartina patens,gs
Sphagnum cuspidatum,herb
Sphagnum papillosum,herb
Sporobolus brevipilis,gs
Toxicodendron radicans,herb
Typha latifolia,gs
Unknown Poaceae,gs
Unknown rush,gs
Unknown sedge,gs
Utricularia gibba,herb
Utricularia subulata,herb
Vaccinium caesariense,shrub
Vaccinium formosum,shrub
Vaccinium sp.,shrub
Vitis rotundifolia,herb
Woodwardia aereolata,herb
Woodwardia virginica,herb
Xyris fimbriata,gs
Zenobia pulverulenta,shrub
Schoenoplectus sp.,gs
